x,y
13.5,74.5
13.5,74.5
13.4,74.2
13.3,73.9
13.3,73.8
12.8,73.2
13.1,73.9
12.5,74.4
12.6,73.9
12.2,73.9
12.0,72.3
11.8,72.7
11.8,71.7
11.7,73.0
11.4,71.8
17.0,89.0
16.9,86.0
16.9,86.0
16.8,85.0
16.7,81.0
16.7,80.0
16.6,79.9
16.6,79.8
16.5,79.6
16.4,79.2
16.4,79.1
16.3,78.5
16.3,78.4
16.2,78.3
16.2,78.0
11.7,62.1
11.5,61.9
11.2,61.6
10.9,61.2
10.5,69.0
10.4,66.0
9.8,63.0
9.1,59.9
8.7,59.4
8.1,58.9
7.7,58.3
7.9,57.9
7.6,57.6
17.2,88.0
17.1,86.0
16.8,84.0
16.7,85.0
16.4,83.0
16.2,80.0
15.9,79.9
16.4,79.4
16.3,79.7
15.6,79.3
15.3,79.2
15.2,79.1
14.6,79.0
14.2,78.7
13.9,78.2
10.7,71.7
10.7,71.4
10.6,71.3
10.5,71.1
10.5,77.0
10.4,76.0
10.4,79.0
10.1,75.0
9.8,69.7
9.6,69.2
8.6,58.1
8.5,58.8
8.5,58.4
8.4,58.1
8.3,57.8
8.1,57.3
7.9,56.8
7.6,56.4
9.2,58.4
9.1,58.1
9.1,57.6
9.0,57.1
8.9,56.7
8.9,56.3
10.3,66.0
10.3,65.9
10.6,65.8
10.3,65.6
10.2,65.9
10.5,66.1
10.7,66.3
11.2,65.7
11.7,65.2
11.4,65.0
11.2,65.1
11.1,65.3
11.0,65.3
10.9,65.4
9.1,63.1
9.1,62.7
11.4,74.5
11.6,74.3
11.6,74.1
11.7,73.9
11.5,73.6
11.3,73.4
11.1,73.2
10.9,73.0
10.8,72.8
10.6,72.5
10.4,72.2
10.3,71.9
10.1,71.6
9.9,71.3
9.8,71.0
11.6,68.0
11.5,67.6
11.3,67.3
10.8,66.8
10.4,66.4
10.5,66.0
10.2,65.5
9.9,65.2
9.7,64.8
9.4,64.4
9.2,64.0
12.9,68.9
12.9,68.7
12.6,68.5
12.3,68.3
12.1,68.1
11.7,67.9
11.7,67.7
11.0,67.5
10.9,67.3
11.1,67.2
11.0,65.3
10.8,66.9
10.6,66.7
10.6,66.5
10.7,66.3
10.1,67.9
10.3,69.5
10.5,76.0
10.4,77.0
10.4,76.0
10.3,74.0
10.3,69.3
10.2,65.9
10.2,64.7
10.1,66.8
9.8,67.2
18.6,81.2
18.6,81.0
18.5,85.0
18.5,84.0
18.2,86.0
16.0,82.2
15.9,82.1
15.9,81.8
15.8,81.8
15.7,81.7
15.6,81.5
15.8,81.0
15.7,84.0
15.7,84.0
15.8,80.0
15.9,81.0
16.0,79.7
15.3,79.3
15.1,79.3
15.2,78.9
16.3,82.5
16.5,82.3
16.6,82.0
16.4,82.0
16.4,81.8
16.3,81.6
16.3,81.5
16.1,81.3
16.0,81.2
15.8,88.0
15.6,89.0
15.4,79.9
15.2,80.0
14.9,79.8
14.8,79.4
12.8,75.8
12.8,75.6
12.8,75.3
12.8,75.2
12.7,75.0
12.7,74.7
12.6,74.5
12.5,74.2
12.5,74.0
12.4,73.5
11.1,73.3
11.9,73.1
13.1,74.0
13.1,73.9
12.9,73.7
13.1,73.6
13.2,73.4
13.6,73.3
13.6,73.1
13.6,73.0
13.7,72.8
13.8,72.4
13.5,72.5
13.2,72.3
13.0,72.1
12.7,71.9
12.6,71.7
15.0,69.9
15.0,69.5
14.7,69.1
14.4,68.5
14.5,67.8
14.6,67.8
14.6,66.6
14.7,65.3
14.3,65.0
13.9,64.6
13.5,64.7
13.1,64.4
12.7,64.7
12.3,64.4
12.1,63.9
11.1,62.9
11.1,62.6
11.1,62.1
11.1,61.2
11.1,63.0
10.7,59.1
10.4,57.9
10.1,56.8
9.7,55.3
9.6,54.1
8.9,53.0
8.2,52.4
8.5,52.1
11.9,66.1
11.9,65.8
11.9,65.7
11.9,65.5
11.9,65.3
11.9,65.2
11.6,65.1
11.8,65.0
